Date,Open,High,Low,Close,Adj Close,Volume
2009-01-31,253.500000,263.399994,228.000000,240.300003,209.005020,8130510
2009-02-28,237.500000,292.500000,219.574997,270.000000,234.837143,10087878
2009-03-31,252.625000,313.600006,252.625000,311.600006,271.019409,13436788
2009-04-30,311.600006,397.350006,300.000000,349.875000,304.309814,14540640
2009-05-31,340.000000,402.500000,340.000000,389.700012,338.948273,14047508
2009-06-30,380.000000,540.099976,368.000000,526.400024,460.804657,19098752
2009-07-31,527.000000,559.900024,435.549988,527.000000,463.252686,12847919
2009-08-31,534.000000,621.900024,519.000000,619.349976,544.431763,12155061
2009-09-30,620.000000,656.849976,556.599976,626.200012,550.453247,11024327
2009-10-31,626.200012,711.400024,602.250000,687.200012,605.963928,7145393
2009-11-30,696.000000,754.000000,677.349976,749.750000,661.119629,4975946
2009-12-31,749.750000,816.400024,696.599976,735.450012,648.510132,8441864
2010-01-31,735.450012,777.000000,709.599976,761.000000,672.820190,3430962
2010-02-28,763.099976,844.000000,755.849976,780.799988,690.326050,5917109
2010-03-31,786.900024,834.900024,730.000000,766.000000,677.240967,6482257
2010-04-30,756.000000,777.000000,692.000000,742.000000,656.022034,4366667
2010-05-31,742.000000,797.450012,732.900024,751.150024,664.111511,3263975
2010-06-30,748.000000,858.900024,725.500000,841.099976,747.469543,7957621
2010-07-31,846.000000,883.400024,829.700012,843.849976,751.673828,4656158
2010-08-31,844.000000,1006.000000,835.000000,922.549988,821.777283,6040462
2010-09-30,928.799988,1069.599976,922.549988,1051.800049,936.908813,6164277
2010-10-31,1053.000000,1107.000000,1002.000000,1076.699951,959.088745,2676613
2010-11-30,1067.550049,1179.000000,1050.000000,1165.050049,1039.764893,3272889
2010-12-31,1165.000000,1221.000000,1087.300049,1157.150024,1032.714478,3987730
2011-01-31,1157.199951,1195.949951,1056.099976,1112.949951,994.937317,3916850
2011-02-28,1119.000000,1196.500000,1058.250000,1182.500000,1057.112915,4325660
2011-03-31,1183.000000,1247.000000,1141.150024,1163.599976,1040.217163,6222585
2011-04-30,1165.500000,1183.800049,1108.150024,1158.800049,1035.926025,2855679
2011-05-31,1158.949951,1202.849976,1056.599976,1180.349976,1055.190796,2845829
2011-06-30,1185.050049,1350.300049,900.250000,1134.449951,1021.097778,3219472
2011-07-31,1138.099976,1149.800049,902.900024,1040.599976,939.083252,6350253
2011-08-31,1061.000000,1073.000000,970.000000,1037.500000,936.285767,4802182
