Date,Open,High,Low,Close,Adj Close,Volume
2004-06-01,88.000000,91.209999,87.300003,88.150002,66.553246,91968600
2004-07-01,88.279999,88.440002,83.419998,87.070000,65.737854,121001000
2004-08-01,86.870003,87.389999,81.900002,84.690002,63.940990,91169700
2004-09-01,84.050003,87.279999,83.239998,85.739998,64.870773,93906300
2004-10-01,85.949997,90.269997,84.290001,89.750000,67.904755,118116100
2004-11-01,89.330002,96.629997,89.230003,94.239998,71.301872,114982100
2004-12-01,94.500000,99.000000,94.470001,98.580002,74.729713,108170400
2005-01-01,98.970001,99.099998,91.440002,93.419998,70.818123,114459000
2005-02-01,93.669998,94.970001,91.550003,92.580002,70.181343,79707700
2005-03-01,92.639999,93.730003,89.089996,91.379997,69.403831,106145200
2005-04-01,91.489998,91.760002,71.849998,76.379997,58.011185,216745500
2005-05-01,76.879997,78.110001,72.500000,75.550003,57.380798,138416000
2005-06-01,75.570000,77.730003,73.449997,74.199997,56.505154,135542800
2005-07-01,74.300003,85.110001,74.160004,83.459999,63.556904,156801500
2005-08-01,83.000000,84.199997,79.870003,80.620003,61.394150,105031100
2005-09-01,80.160004,82.110001,76.930000,80.220001,61.236488,115681400
2005-10-01,80.220001,84.599998,78.699997,81.879997,62.503620,139881800
2005-11-01,81.849998,89.940002,80.639999,88.900002,67.862419,110664500
2005-12-01,89.150002,89.919998,81.559998,82.199997,62.898338,120052400
2006-01-01,82.449997,85.029999,80.209999,81.300003,62.209682,146491600
2006-02-01,80.900002,82.239998,78.930000,80.239998,61.398613,111052200
2006-03-01,80.199997,84.989998,79.510002,82.470001,63.263439,111514900
2006-04-01,82.720001,84.449997,80.629997,82.339996,63.163704,114007000
2006-05-01,82.589996,83.690002,79.059998,79.900002,61.291958,113146500
2006-06-01,79.889999,80.870003,76.059998,76.820000,59.142303,139457800
2006-07-01,77.540001,78.529999,72.730003,77.410004,59.596542,137188300
2006-08-01,76.650002,81.680000,75.050003,80.970001,62.337334,100880300
2006-09-01,81.129997,83.790001,79.309998,81.940002,63.335693,102776100
2006-10-01,81.760002,92.680000,81.559998,92.330002,71.366676,170367300
2006-11-01,92.500000,94.050003,90.430000,91.919998,71.049767,104430000
2006-12-01,91.900002,97.879997,90.550003,97.150002,75.336014,104470200
2007-01-01,97.180000,100.900002,94.550003,99.150002,76.886925,192702000
2007-02-01,98.970001,100.440002,92.470001,92.940002,72.071281,125776200
2007-03-01,90.250000,95.809998,88.769997,94.260002,73.315170,163194500
2007-04-01,94.510002,103.000000,93.910004,102.209999,79.498688,166807200
2007-05-01,102.059998,108.050003,101.349998,106.599998,82.913200,146441400
2007-06-01,106.620003,107.239998,101.559998,105.250000,82.181824,169602000
2007-07-01,105.389999,118.820000,104.580002,110.650002,86.398308,212757600
2007-08-01,110.389999,117.349998,103.699997,116.690002,91.114456,202871500
2007-09-01,116.339996,118.889999,114.300003,117.800003,92.306412,132233800
2007-10-01,117.610001,121.459999,110.959999,116.120003,90.989990,171669000
2007-11-01,115.500000,116.089996,99.269997,105.180000,82.417549,200920600
2007-12-01,105.550003,112.190002,104.000000,108.099998,85.006081,134151600
2008-01-01,108.989998,108.989998,97.040001,107.110001,84.227585,247523900
2008-02-01,107.160004,116.629997,100.599998,113.860001,89.535515,168280800
2008-03-01,113.860001,119.790001,111.800003,115.139999,90.888252,179284200
2008-04-01,115.199997,125.000000,113.860001,120.699997,95.277145,192087200
2008-05-01,121.059998,129.990005,120.779999,129.429993,102.168365,159517500
2008-06-01,128.490005,129.369995,118.150002,118.529999,93.946701,152327500
2008-07-01,117.500000,130.929993,116.599998,127.980003,101.436729,200876500
2008-08-01,128.520004,129.970001,121.500000,121.730003,96.483002,137028800
2008-09-01,122.870003,124.000000,109.949997,116.959999,93.063362,218411700
2008-10-01,115.510002,116.800003,78.820000,92.970001,73.974876,314972000
2008-11-01,92.639999,94.760002,69.500000,81.599998,64.927940,218313000
2008-12-01,80.949997,87.269997,75.309998,84.160004,67.339249,188846100
2009-01-01,83.889999,94.940002,81.760002,91.650002,73.332237,208959400
2009-02-01,90.599998,97.099998,82.849998,92.029999,73.636314,223017600
2009-03-01,91.169998,99.860001,83.019997,96.889999,77.946709,286114500
