Date,Open,High,Low,Close,Adj Close,Volume
2004-05-31,44.345501,47.053398,38.137100,40.627998,5.051351,1407582654
2004-06-30,41.024300,50.695400,36.797298,41.713100,7.162428,1078909493
2004-07-31,41.807400,43.769901,39.165600,41.783798,7.174566,821766595
2004-08-31,42.222599,46.930698,41.812099,44.166199,7.583642,652282792
2004-09-30,44.109600,47.053398,41.146900,42.213100,7.248280,477516544
2004-10-31,42.316898,51.704899,42.227299,49.978298,8.581619,515856829
2004-11-30,50.025501,63.027199,47.553501,61.517601,10.562997,835959656
2004-12-31,61.753399,62.546001,53.025902,60.668400,10.417183,617429337
2005-01-31,60.385300,67.858002,52.808899,67.428703,11.577975,756888199
2005-02-28,67.084297,70.853699,60.102299,61.781700,10.608343,765443832
2005-03-31,61.800598,64.725502,54.912899,55.181801,9.475097,482270924
2005-04-30,55.479000,64.801003,54.351501,63.258400,10.861902,578811942
2005-05-31,63.168701,65.640701,54.158100,64.338699,11.047400,481506204
2005-06-30,64.348099,76.373299,62.475201,75.505302,16.102148,507720696
2005-07-31,75.387299,78.123497,70.764099,75.132599,16.022665,430646585
2005-08-31,75.575996,90.578003,74.656097,88.521103,18.877878,520257845
2005-09-30,88.502296,90.578003,75.911003,79.170799,16.883850,636247788
2005-10-31,82.062698,88.691002,77.415901,84.600800,18.041843,507178367
2005-11-30,85.199898,89.342003,81.340897,85.685898,18.273247,585787918
2005-12-31,86.096298,89.634499,82.902496,83.628998,17.834597,499219338
2006-01-31,83.878998,84.737602,80.024696,82.793999,17.656525,352917259
2006-02-28,82.850601,94.205803,82.388199,91.379997,19.487562,527557895
2006-03-31,91.521500,96.239098,80.199303,86.152901,18.372839,330501085
2006-04-30,86.803902,95.083298,75.292999,78.562302,16.754076,410357887
2006-05-31,79.255798,81.760803,66.518204,68.664703,14.643332,392481899
2006-06-30,69.348801,85.388603,64.584000,76.448799,20.214785,363866715
2006-07-31,75.670403,89.040100,74.953300,87.865402,23.233587,326948482
2006-08-31,87.936096,98.503601,86.020798,97.055298,25.663607,243086607
2006-09-30,97.088303,105.174004,93.885002,103.376999,27.335205,184586407
2006-10-31,118.535004,124.907997,102.749001,124.265999,32.858730,298488458
2006-11-30,124.072998,152.604996,109.825996,117.525002,31.076256,251606705
2006-12-31,117.940002,120.983002,106.806999,107.603996,28.452917,221391029
2007-01-31,109.260002,116.053001,91.663002,98.300697,25.992918,258906077
2007-02-28,98.314903,101.372002,84.737602,93.828400,24.810337,313933848
2007-03-31,92.408401,109.996002,86.332199,103.967003,27.491213,272694187
2007-04-30,104.731003,128.695999,100.957001,127.720001,33.772045,357290774
2007-05-31,128.695999,144.518997,120.790001,143.962006,38.066795,403005915
2007-06-30,144.358994,169.738998,138.707001,153.214005,45.590759,332423140
2007-07-31,151.906998,163.682007,132.753006,150.996002,44.930767,466201784
2007-08-31,152.755997,185.113998,149.076004,183.595001,54.631012,284734653
2007-09-30,184.175003,205.216003,150.962997,195.139008,58.066074,438693575
2007-10-31,204.460999,231.162994,188.703995,217.235992,64.641296,359754406
2007-11-30,219.839996,233.615997,210.121994,223.723007,66.571602,150110557
2007-12-31,224.557999,242.862000,172.664001,216.735001,64.492226,256049490
2008-01-31,224.470001,233.970001,194.500000,211.164993,62.834812,178289680
2008-02-29,200.100006,205.240005,158.100006,160.024994,47.617451,234253880
2008-03-31,160.500000,182.100006,156.134995,177.464996,52.806946,176564830
2008-04-30,179.994995,184.000000,143.535004,144.500000,42.997799,194417810
2008-05-31,142.699997,149.800003,110.099998,111.160004,38.538471,219409130
2008-06-30,111.500000,157.399994,96.565002,141.725006,49.135155,366850220
2008-07-31,139.179993,163.899994,130.054993,140.384995,48.670582,377312960
2008-08-31,139.000000,162.000000,135.199997,146.335007,50.733410,488105900
2008-09-30,148.479996,158.979996,98.500000,110.970001,38.472599,646183650
2008-10-31,116.400002,138.000000,102.125000,108.855003,37.739334,667009630
2008-11-30,109.000000,132.399994,99.555000,128.880005,44.681877,794979430
2008-12-31,132.899994,138.869995,103.110001,115.099998,39.904442,551602690
2009-01-31,113.900002,120.595001,99.614998,102.529999,35.546501,427702530
2009-02-28,101.470001,113.400002,89.150002,106.709999,36.995682,744661710
2009-03-31,107.614998,135.500000,102.330002,129.115005,44.763351,641486160
2009-04-30,129.115005,189.214996,121.945000,186.884995,64.791840,641295500
2009-05-31,203.970001,203.970001,159.895004,174.529999,60.508442,531418200
2009-06-30,173.100006,183.990005,151.059998,181.164993,75.169319,517666620
