Date,Open,High,Low,Close,Adj Close,Volume
2004-05-31,71.199997,78.400002,69.199997,73.940002,55.647465,30532820
2004-06-30,74.000000,75.900002,68.220001,75.040001,56.475319,28342810
2004-07-31,75.000000,76.379997,70.620003,73.529999,55.338898,19503830
2004-08-31,73.599998,83.339996,73.239998,80.400002,60.509285,63725550
2004-09-30,81.959999,85.000000,79.230003,83.019997,62.481098,26923855
2004-10-31,84.599998,100.879997,83.099998,99.339996,74.763573,37875020
2004-11-30,99.820000,105.989998,92.900002,104.070000,78.323387,44267405
2004-12-31,103.209999,114.000000,95.019997,112.919998,84.983925,53032105
2005-01-31,113.199997,119.970001,110.050003,117.459999,88.400757,28134245
2005-02-28,117.400002,125.720001,101.599998,108.970001,82.011139,30705730
2005-03-31,109.199997,126.449997,103.220001,107.000000,80.528511,22333295
2005-04-30,107.000000,110.980003,89.599998,107.910004,81.213379,21833095
2005-05-31,108.300003,128.589996,106.800003,127.209999,99.899162,41266230
2005-06-30,123.250000,146.000000,107.580002,139.889999,109.856888,98619995
2005-07-31,137.979996,153.000000,125.650002,128.050003,100.558815,38146875
2005-08-31,129.929993,148.000000,125.849998,137.029999,107.610901,49339245
2005-09-30,137.029999,143.000000,120.599998,121.330002,95.281548,41335605
2005-10-31,124.800003,141.399994,123.099998,137.380005,107.885765,131769675
2005-11-30,137.419998,149.699997,135.300003,141.750000,111.317558,36524745
2005-12-31,141.750000,155.000000,136.000000,152.490005,119.751785,50219745
2006-01-31,153.000000,155.000000,141.199997,147.429993,115.778114,50563695
2006-02-28,147.000000,162.399994,144.199997,154.850006,121.605103,59721015
2006-03-31,154.850006,173.000000,148.179993,165.160004,129.701630,49995425
2006-04-30,167.800003,179.000000,142.000000,149.039993,117.042442,62882890
2006-05-31,152.000000,162.960007,123.040001,159.190002,129.088821,55271655
2006-06-30,160.000000,163.199997,136.000000,159.000000,128.934753,40761500
2006-07-31,159.199997,174.000000,152.809998,170.410004,138.187256,34223165
2006-08-31,170.500000,190.940002,163.029999,185.070007,150.075195,38580875
2006-09-30,186.000000,212.990005,177.259995,200.919998,162.928116,51953315
2006-10-31,202.880005,230.000000,197.029999,224.360001,181.935852,58399795
2006-11-30,225.000000,226.960007,198.250000,213.589996,173.202347,39059825
2006-12-31,215.960007,232.000000,196.220001,215.720001,174.929565,51655720
2007-01-31,216.009995,225.000000,180.000000,187.000000,151.640244,61803020
2007-02-28,192.000000,206.399994,176.710007,190.830002,154.746033,67891820
2007-03-31,182.020004,209.000000,178.979996,204.830002,166.098755,58219370
2007-04-30,205.000000,231.970001,191.509995,229.520004,186.120148,85048385
2007-05-31,229.399994,236.839996,214.199997,229.350006,192.488754,108512535
2007-06-30,233.000000,251.000000,224.419998,240.119995,201.527786,57053335
2007-07-31,237.779999,239.399994,210.240005,234.339996,196.676743,65763240
2007-08-31,243.660004,291.799988,228.110001,287.119995,240.973907,42524035
2007-09-30,288.000000,343.679993,261.000000,330.679993,277.532928,59719530
2007-10-31,345.679993,359.959991,285.000000,343.230011,288.065887,65698175
2007-11-30,347.000000,359.760010,323.309998,345.820007,290.239685,44405680
2007-12-31,346.000000,365.000000,270.200012,313.910004,263.458160,87575965
2008-01-31,315.000000,324.760010,270.140015,291.350006,244.524078,65094775
2008-02-29,286.000000,293.440002,233.110001,266.250000,223.458145,74773645
2008-03-31,264.010010,311.799988,254.000000,304.829987,255.837540,79932195
2008-04-30,309.000000,320.000000,260.200012,273.739990,236.337952,55504895
2008-05-31,276.000000,276.000000,199.000000,201.479996,173.951096,95191480
2008-06-30,203.000000,249.800003,178.460007,219.630005,189.621185,190890890
2008-07-31,218.940002,267.160004,205.250000,255.339996,220.452011,155685770
2008-08-31,249.899994,277.200012,215.149994,245.940002,212.336380,179410980
2008-09-30,247.600006,261.739990,172.399994,204.520004,176.575729,208806235
2008-10-31,211.029999,233.600006,158.309998,184.550003,159.334320,197527360
2008-11-30,185.000000,216.869995,169.020004,199.669998,172.388382,190643860
2008-12-31,199.199997,225.050003,173.020004,185.119995,159.826416,162893695
2009-01-31,184.000000,191.630005,167.000000,177.899994,153.592911,125144320
2009-02-28,174.619995,202.600006,154.800003,194.679993,168.080170,238356885
